Year,Period,ID,GradeLevel,Sex,PrevMath,wGPA,uGPA,MathGPA,APAve,APExams,APExamsPass,BirthMonth,Town,PSAT,PSAT-ELA,PSAT-Math,SBAC_ELA,ELA_Level,SBAC_MATH,Math_Level,SBAC_Total,LOCUS_August,MT_MC,MT_Raw,Mk1_MC,Mk1_Raw,Mk1_AP,Mk2_MC,Mk2_Raw,Mk2_AP,LOCUS_April,ACTUAL
2017,1,50820,12,M,A2,,,,,,,12,ATown,,,,,,,,,,12,37.2,10,24.1,1,6,16.9,1,,0
2017,1,51155,12,F,A2,,,,,,,10,Other,,,,,,,,,,21,58.4,30,74.4,5,34,75,5,,5
2017,1,51285,12,M,APCalc,,,,,,,11,Other,,,,,,,,,,21,69.4,33,77.2,5,30,75.6,5,,5
2017,1,52050,11,M,A2,,,,,,,6,ATown,,,,,,,,,,17,62.7,30,73.4,5,30,65,4,,4
2017,2,52310,12,F,APCalc,,,,,,,6,CCity,,,,,,,,,,27,91.9,37,82.5,5,38,88.8,5,,5
2017,2,53380,12,M,PC,,,,,,,12,CCity,,,,,,,,,,14,51.5,22,60,4,25,56.9,4,,4
2017,2,53850,12,M,APCalc,,,,,,,1,Other,,,,,,,,,,23,71.1,24,65.6,4,24,60.6,4,,5
2017,2,54000,11,F,APCalc,,,,,,,3,Bville,,,,,,,,,,25,80.7,36,80.6,5,32,78.1,5,,5
2017,2,54920,12,F,APCalc,,,,,,,8,Other,,,,,,,,,,17,73.6,32,72.2,5,32,75.6,5,,5
2017,2,56880,10,M,A2,,,,,,,4,Other,,,,,,,,,,19,66,35,77.8,5,28,73.1,5,,5
2018,1,50320,12,M,APCalc,4.03,,4,5,4,4,9,Other,,,,,,,,,,33,86.6,33,89.4,5,33,79.7,5,,5
2018,2,55355,12,M,PC,4.5,,4,,0,,12,CCity,,,,,,,,,,22,60.3,25,64.4,4,29,70.9,5,,4
2018,1,50640,12,F,PC,3.96,,4,,0,,6,ATown,,,,,,,,,,20,54.7,21,57.2,4,30,69.1,4,,4
2018,2,50760,12,M,PC,3.48,,2.8,,0,,11,Other,,,,,,,,,,24,59.7,21,42.2,2,24,61.9,4,,3
2018,1,50770,12,M,APCalc,4.22,,4,3.8,4,4,6,Other,,,,,,,,,,34,86.3,33,81.3,5,31,78.1,5,,5
2018,2,51190,12,M,APCalc,4.2,,4,3.3,3,2,8,ATown,,,,,,,,,,29,75.3,37,83.1,5,36,83.1,5,,5
2018,1,51570,12,F,PC,3.72,,3.33,1.5,2,0,1,ATown,,,,,,,,,,19,48.8,18,51.6,3,26,58.1,4,,2
2018,2,51575,12,F,PC,3.61,,3,1.5,2,0,1,ATown,,,,,,,,,,18,41.3,21,49.7,3,29,65.9,4,,3
2018,1,55510,10,M,A2,4,,4,,0,,4,Other,,,,,,,,,,28,74.1,26,64.7,4,27,75.9,5,,4
2018,2,52020,12,F,PC,4.03,,3.67,3.5,2,2,3,ATown,,,,,,,,,,28,58.4,23,64.1,4,28,68.4,4,,4
2018,1,52140,12,F,PC,3.87,,2.88,3.3,2,2,4,ATown,,,,,,,,,,20,51.6,16,40.3,2,20,53.4,3,,3
2018,2,52340,11,F,A2,3.55,,4,,0,,8,Other,,,,,,,,,,21,49.7,22,54.1,3,24,53.8,3,,4
