CLAIM,KIDSDRIV,AGE,HOMEKIDS,INCOME,HOMEOWN,MSTATUS,GENDER,EDUCATION,TRAVTIME,CAR_USE,BLUEBOOK,TWC,RED_CAR,CLM_BEF,REVOKED,MVR_PTS,CAR_AGE,URBANICITY
0,0,60,0,67349,0,0,0,1,14,0,14230,11,1,1,0,1,18,1
0,0,43,0,91449,1,0,0,0,22,1,14940,1,1,0,0,0,1,1
0,0,35,1,16039,1,1,1,0,5,0,4010,4,0,1,0,1,10,1
0,0,50,0,114986,1,1,1,1,36,0,18000,1,0,1,1,1,17,1
1,0,34,1,125301,0,0,1,1,46,1,17430,1,0,0,0,0,7,1
0,0,54,0,18755,0,1,1,0,33,0,8780,1,0,0,0,0,1,1
1,1,37,1,107961,1,1,0,1,44,1,16970,1,1,1,1,1,7,1
1,0,34,0,62978,0,0,1,1,34,0,11200,1,0,0,0,0,1,1
0,0,50,0,106952,0,0,0,1,48,1,18510,7,0,0,0,1,17,0
1,0,53,0,77100,0,0,1,1,15,0,18300,1,0,0,0,0,11,1
0,0,43,0,52642,1,1,1,1,36,0,22420,7,0,0,0,0,1,0
0,0,55,0,59162,1,1,0,1,25,1,17600,7,1,1,1,1,9,1
1,0,53,0,130795,0,0,0,1,64,1,28340,6,1,0,0,1,10,1
1,0,45,0,0,1,1,1,0,48,0,6000,1,0,0,0,1,5,1
0,0,39,1,51884,1,0,1,1,43,0,10590,6,0,0,0,0,13,0
0,0,42,0,59945,1,1,0,1,42,0,14190,6,0,0,0,0,16,1
0,0,34,1,34019,1,1,1,1,27,0,8300,7,0,0,0,0,20,1
0,0,31,1,18903,1,1,1,0,48,0,17330,4,0,0,0,0,7,1
1,0,28,1,44077,1,1,1,0,29,1,8710,6,0,1,0,0,1,1
1,0,43,0,37214,0,1,0,0,52,1,26560,1,1,0,0,1,1,1
0,0,48,0,96274,1,1,1,1,36,0,11130,6,0,1,0,1,14,1
0,0,47,0,46281,0,0,1,0,29,0,19700,10,0,0,0,1,5,1
0,1,44,1,0,1,1,1,0,8,0,5900,6,0,1,0,0,11,1
0,0,33,1,79606,1,1,1,1,27,0,16830,9,0,0,0,1,15,0
1,0,32,1,31275,1,1,1,0,26,0,10030,1,0,0,0,0,1,1
0,1,44,1,45488,1,1,0,1,16,0,22090,17,0,0,0,0,12,1
0,0,35,0,72193,0,0,1,1,26,0,12220,6,0,0,0,1,12,1
0,0,49,0,49244,1,1,0,1,30,0,15880,1,0,0,0,1,1,1
0,0,52,0,51278,1,1,1,1,37,0,1500,4,0,0,0,1,10,1
